ALLYL ALCOHOL,203
ALLYL CHLORIDE,234
ALLYL CYANIDE,265
ALPHA-METHYL STYRENE,397
AMMONIA,72.5
ANILINE,270
ANTHRACENE,0
ARGON,74.9
BENZALDEHYDE,0
BENZENE,259
BENZOIC ACID,341
BENZONITRILE,0
BENZYL ALCOHOL,334
BORON TRICHLORIDE,0
BORON TRIFLUORIDE,0
BROMINE,127
BROMOBENZENE,324
BUTYL BENZOATE,561
BUTYL ETHER,500
BUTYRONITRILE,285
"C,C,T-1,2,4-TRIMETHYLCYCLOPENTANE",0
"C,T,C-1,2,4-TRIMETHYLCYCLOPENTANE",0
CAPRYLONITRILE,0
CARBON DIOXIDE,94
CARBON DISULFIDE,170
CARBON MONOXIDE,93.1
CARBON TETRACHLORIDE,276
CARBON TETRAFLUORIDE,140
CARBONYL SULFIDE,140
CHLORINE,124
CHLOROBENZENE ,308
CHLORODIFLUOROMETHANE,165
CHLOROFORM,239
CHLOROPENTAFLUOROETHANE,252
CHLOROTRIFLUOROMETHANE,180
"CIS-1,2-DIMETHYLCYCLOHEXANE",0
"CIS-1,2-DIMETHYLCYCLOPENTANE",368
"CIS-1,3-DIMETHYLCYCLOHEXANE",0
"CIS-1,4-DIMETHYLCYCLOHEXANE",0
CIS-2-BUTENE,234
CIS-2-HEXENE,351
CIS-2-PENTENE,300
CIS-3-HEXENE,350
CIS-DECALIN,0
CYANOGEN,0
CYCLOBUTANE,210
CYCLOHEPTANE,390
CYCLOHEXANE,308
CYCLOHEXANOL,327
CYCLOHEXANONE,312
CYCLOHEXENE,292
CYCLOPENTANE,260
CYCLOPENTANONE,268
CYCLOPENTENE,0
CYCLOPROPANE,170
DEUTERIUM,60.3
DEUTERIUM OXIDE,55.6
DIBROMOMETHANE,0
DIBUTYLAMINE,517
DIBUTYL-O-PHTHALATE,0
DICHLORODIFLUOROMETHANE,217
DICHLOROMETHANE,193
DICHLOROMONOFLUOROMETHANE,197
DIETHYL AMINE,187
